"filename", "language", "C++", "Markdown", "CSS", "JavaScript", "HTML", "JSON", "CMake", "YAML", "comment", "blank", "total"
"c:\Users\CAR0041\Projects\mod\.github\workflows\multi-platform.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 12, 56
"c:\Users\CAR0041\Projects\mod\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"c:\Users\CAR0041\Projects\mod\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\CAR0041\Projects\mod\about.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\CAR0041\Projects\mod\changelog.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\CAR0041\Projects\mod\mod.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\CAR0041\Projects\mod\resources\index.html", "HTML", 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\CAR0041\Projects\mod\resources\index.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 25, 13, 151
"c:\Users\CAR0041\Projects\mod\resources\styles.css", "CSS", 0, 0, 55, 0, 0, 0, 0, 0, 0, 9, 64
"c:\Users\CAR0041\Projects\mod\src\Modifiers.cpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\CAR0041\Projects\mod\src\Modifiers.hpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"c:\Users\CAR0041\Projects\mod\src\Server.cpp", "C++", 124, 0, 0, 0, 0, 0, 0, 0, 0, 17, 141
"c:\Users\CAR0041\Projects\mod\src\Server.hpp", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\CAR0041\Projects\mod\src\main.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\CAR0041\Projects\mod\support.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 215, 23, 55, 113, 44, 30, 23, 44, 25, 93, 665
